regione,età,value
Piemonte,0,27785
Valle d'Aosta / Vallée d'Aoste,0,835
Liguria,0,8632
Lombardia,0,72560
Provincia Autonoma Bolzano / Bozen,0,5225
Provincia Autonoma Trento,0,4243
Veneto,0,33275
Friuli-Venezia Giulia,0,7450
Emilia-Romagna,0,30914
Toscana,0,23220
Umbria,0,5488
Marche,0,9582
Lazio,0,38162
Abruzzo,0,8372
Molise,0,1888
Campania,0,46010
Puglia,0,27126
Basilicata,0,3630
Calabria,0,14177
Sicilia,0,37683
Sardegna,0,8717
Provincia Autonoma Trento,1,4427
Valle d'Aosta / Vallée d'Aoste,1,893
Emilia-Romagna,1,32779
Basilicata,1,3639
Lombardia,1,76022
Provincia Autonoma Bolzano / Bozen,1,5309
Liguria,1,8971
Marche,1,10140
Sicilia,1,39459
Sardegna,1,9211
Calabria,1,14777
Abruzzo,1,8810
Lazio,1,42329
Piemonte,1,28996
Veneto,1,35392
Puglia,1,28416
Friuli-Venezia Giulia,1,7802
Toscana,1,24713
Molise,1,1863
Campania,1,47138
Umbria,1,5699
Valle d'Aosta / Vallée d'Aoste,2,888
Emilia-Romagna,2,33739
Sardegna,2,10006
Basilicata,2,3898
Campania,2,49346
Toscana,2,26112
Marche,2,10706
Umbria,2,5992
Puglia,2,29647
Molise,2,2079
Sicilia,2,40502
Abruzzo,2,9436
Calabria,2,15345
Friuli-Venezia Giulia,2,8229
Veneto,2,36931
Lazio,2,44307
Provincia Autonoma Trento,2,4584
Piemonte,2,30833
Lombardia,2,79620
Liguria,2,9674
Provincia Autonoma Bolzano / Bozen,2,5440
Umbria,3,6381
Lazio,3,46590
Abruzzo,3,9971
Campania,3,49478
Emilia-Romagna,3,35347
Friuli-Venezia Giulia,3,8615
Provincia Autonoma Trento,3,4737
Veneto,3,38142
Molise,3,2026
Basilicata,3,3968
Valle d'Aosta / Vallée d'Aoste,3,951
Liguria,3,9926
Provincia Autonoma Bolzano / Bozen,3,5541
Piemonte,3,32053
Marche,3,11402
Sardegna,3,10423
Lombardia,3,82300
Toscana,3,27031
Calabria,3,15628
Sicilia,3,40589
Puglia,3,30597
Valle d'Aosta / Vallée d'Aoste,4,961
Veneto,4,39268
Lombardia,4,85067
Piemonte,4,32833
Liguria,4,10202
Lazio,4,47781
Umbria,4,6428
Abruzzo,4,10085
Molise,4,2115
Campania,4,50210
Friuli-Venezia Giulia,4,8715
Provincia Autonoma Trento,4,4878
Emilia-Romagna,4,36507
Puglia,4,30971
Calabria,4,15901
Provincia Autonoma Bolzano / Bozen,4,5518
Toscana,4,27602
Sardegna,4,10967
Marche,4,11861
Basilicata,4,3996
Sicilia,4,41903
Piemonte,5,34181
Valle d'Aosta / Vallée d'Aoste,5,1050
Provincia Autonoma Trento,5,4944
Toscana,5,29161
Lombardia,5,87242
Veneto,5,40633
Liguria,5,10858
Emilia-Romagna,5,37450
Friuli-Venezia Giulia,5,9243
Provincia Autonoma Bolzano / Bozen,5,5692
Umbria,5,6845
Marche,5,12179
Lazio,5,49513
Abruzzo,5,10300
Molise,5,2153
Campania,5,50945
Puglia,5,32418
Basilicata,5,4045
Calabria,5,16068
Sicilia,5,42972
Sardegna,5,11252
Emilia-Romagna,6,38385
Provincia Autonoma Trento,6,5211
Molise,6,2192
Piemonte,6,35065
Lombardia,6,88821
Valle d'Aosta / Vallée d'Aoste,6,1033
Veneto,6,41614
Basilicata,6,4026
Sicilia,6,42416
Calabria,6,16075
Abruzzo,6,10453
Lazio,6,50450
Friuli-Venezia Giulia,6,9426
Provincia Autonoma Bolzano / Bozen,6,5412
Sardegna,6,11614
Toscana,6,29467
Puglia,6,33061
Campania,6,52006
Liguria,6,10956
Marche,6,12490
Umbria,6,7118
Basilicata,7,4406
Sardegna,7,12206
Lazio,7,53333
Sicilia,7,44542
Umbria,7,7461
Abruzzo,7,10966
Molise,7,2245
Marche,7,12818
Calabria,7,16483
Toscana,7,31289
Puglia,7,34277
Campania,7,54373
Provincia Autonoma Bolzano / Bozen,7,5625
Lombardia,7,92013
Piemonte,7,36414
Provincia Autonoma Trento,7,5234
Emilia-Romagna,7,39593
Valle d'Aosta / Vallée d'Aoste,7,1124
Veneto,7,43637
Friuli-Venezia Giulia,7,9844
Liguria,7,11590
Basilicata,8,4374
Sardegna,8,12843
Piemonte,8,36698
Provincia Autonoma Trento,8,5377
Lombardia,8,93991
Emilia-Romagna,8,40376
Provincia Autonoma Bolzano / Bozen,8,5524
Friuli-Venezia Giulia,8,10021
Valle d'Aosta / Vallée d'Aoste,8,1182
Lazio,8,53295
Calabria,8,16714
Umbria,8,7552
Abruzzo,8,11115
Molise,8,2316
Liguria,8,11409
Veneto,8,44439
Puglia,8,35383
Sicilia,8,44642
Marche,8,13452
Toscana,8,31668
Campania,8,55531
Puglia,9,36556
Calabria,9,17254
Toscana,9,32704
Campania,9,57239
Marche,9,13632
Lazio,9,54609
Friuli-Venezia Giulia,9,10410
Sardegna,9,13244
Piemonte,9,37577
Umbria,9,7742
Valle d'Aosta / Vallée d'Aoste,9,1155
Lombardia,9,96782
Basilicata,9,4527
Provincia Autonoma Bolzano / Bozen,9,5533
Sicilia,9,46202
Emilia-Romagna,9,41720
Liguria,9,11930
Molise,9,2444
Provincia Autonoma Trento,9,5559
Veneto,9,45848
Abruzzo,9,11479
Sardegna,10,13277
Piemonte,10,38651
Valle d'Aosta / Vallée d'Aoste,10,1224
Provincia Autonoma Bolzano / Bozen,10,5484
Sicilia,10,47207
Provincia Autonoma Trento,10,5490
Basilicata,10,4722
Emilia-Romagna,10,42417
Molise,10,2271
Umbria,10,7706
Abruzzo,10,11286
Calabria,10,17491
Puglia,10,36955
Liguria,10,12472
Lombardia,10,98664
Marche,10,14000
Toscana,10,32840
Campania,10,58784
Lazio,10,54780
Veneto,10,46493
Friuli-Venezia Giulia,10,10550
Piemonte,11,38936
Valle d'Aosta / Vallée d'Aoste,11,1204
Liguria,11,12738
Veneto,11,47439
Provincia Autonoma Trento,11,5601
Emilia-Romagna,11,42163
Provincia Autonoma Bolzano / Bozen,11,5679
Marche,11,14074
Sicilia,11,48062
Umbria,11,8132
Toscana,11,33856
Molise,11,2471
Lombardia,11,98737
Friuli-Venezia Giulia,11,10534
Lazio,11,55204
